id,painting_unique_id,featured_story_image,featured_manuscript_image,recension_id,total_manuscripts_with_this_story_id_illustrated,total_story_id_paintings,total_manuscript_paintings,manuscript_link,image_link,non_iiif_image_link,painting_number,painting_folio,painting_scan,number_of_episodes,episode_number,episode_location_on_page,episode_description,episode_keywords_objects,episode_keywords_agents,episode_keywords_activities,episode_keywords_concepts,episode_caption,episode_notes,painting_same_date_as_manuscript,painting_research_note,painting_sort_order_number,paintings_manuscript_detail_order,manuscript.manuscript,manuscript.manuscript_full_name,manuscript.link_to_digital_copy,canonical_story_id.canonical_story_id
838,853,FALSE,TRUE,,225,227,1,https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN875705472,,https://ethiopic-manuscripts.s3.amazonaws.com/Berlin+Staatsbibliothek/H-Berlin+(BS)+42/H-Berlin42_58a.jpg,1,27v,58,1,1,full,Motherhood: Madonna and child,couch; handkerchief,Mary; Jesus Christ; angel; Michael; Gabriel,,,Our Lady Mary; Saint Gabriel; Saint Michael,"Caption is badly damaged and likely not original

https://content.staatsbibliothek-berlin.de/dms/PPN875705472/1200/0/00000058.jpg",,,8,1,H-Berlin (BS) 42,"Berlin Staatsbibliothek, [Ethiopic Collection], Manuscript No. 42",https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN875705472,7011
839,854,FALSE,,,225,227,15,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,,"https://content.staatsbibliothek-berlin.de/dc/880986085-0012/full/400,/0/default.jpg",1,5v,12,1,1,full,Motherhood: Madonna and child,couch; curtain; jewelry; sword,Mary; Jesus Christ; angel; Michael; Gabriel; patron,,,With her beloved obedient Son,,,,1000,1,H-Berlin (BS) 74,"Berlin Staatsbibliothek, [Ethiopic Collection], Manuscript No. 74",https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,7011
840,855,FALSE,,,15,15,15,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,,"https://content.staatsbibliothek-berlin.de/dc/880986085-0021/full/400,/0/default.jpg",1,10r,21,1,1,top,"Nativity: Mary, Joseph, Jesus in manger",bed; blanket; manger,Mary; Jesus Christ; Joseph; Salome,,,How our Lady Mary gave birth to our Lord in Bethlehem,,,,1001,3,H-Berlin (BS) 74,"Berlin Staatsbibliothek, [Ethiopic Collection], Manuscript No. 74",https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,7010
841,856,FALSE,,,225,227,15,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,,"https://content.staatsbibliothek-berlin.de/dc/880986085-0072/full/400,/0/default.jpg",1,35r,72,1,1,top,Motherhood: Madonna and child,couch; jewelry; breast milk,Mary; Jesus Christ,breastfeeding,,How our Lady Mary nursed her Son,,,,1000,8,H-Berlin (BS) 74,"Berlin Staatsbibliothek, [Ethiopic Collection], Manuscript No. 74",https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,7011
842,857,TRUE,,,1,1,15,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,,https://ethiopic-manuscripts.s3.amazonaws.com/Berlin+Staatsbibliothek/H-Berlin+(BS)+74/H-Berlin+(BS)_50r.jpg,1,50r,104,1,1,bottom,Life: How the people of Sägäl brought a gift,gift; head covering; jewelry,Mary; Jesus Christ,,,How the people of Sägäl brought a gift,,,,1100,12,H-Berlin (BS) 74,"Berlin Staatsbibliothek, [Ethiopic Collection], Manuscript No. 74",https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,7018
843,858,FALSE,,,4,4,15,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,,"https://content.staatsbibliothek-berlin.de/dc/880986085-0107/full/400,/0/default.jpg",1,51r,107,1,1,bottom,Childhood: Angels tending to Mary in the temple (related to ID 315),gift; food; handkerchief; throne; head covering; cup; chalice,Mary,,,How Michael and Gabriel brought Mary bread and drink for twelve years,,,,1000,13,H-Berlin (BS) 74,"Berlin Staatsbibliothek, [Ethiopic Collection], Manuscript No. 74",https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,7006
844,859,TRUE,,,30,31,15,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,,"https://content.staatsbibliothek-berlin.de/dc/880986085-0110/full/400,/0/default.jpg",1,53r,110,1,1,bottom,Annunciation: St Gabriel appears to Mary sewing or spinning,book; manuscript; book stand; dove; bird; heavenly clouds,Mary; Gabriel; angel; Holy Spirit,,,How Gabriel announced the good news to Mary,,,,1000,14,H-Berlin (BS) 74,"Berlin Staatsbibliothek, [Ethiopic Collection], Manuscript No. 74",https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN880986085&PHYSID=PHYS_0005,7008
845,860,FALSE,TRUE,,20,20,1,https://eap.bl.uk/archive-file/EAP286-1-1-223,,https://ethiopic-manuscripts.s3.amazonaws.com/British+Library/BL+EAP/IES-286+1-1-0223/EAP+286_075a.jpg,1,73v,75a,1,1,full,Ascension: Mary surrounded by angels and the apostles,moon; scarf; handkerchief,Mary,,,,,,,1000,1,IES-286 (EAP) 1-1-0223,"Institute of Ethiopian Studies, EAP Project No. 286, by Delamarter and Demeke, Manuscript No. 1-1-0223",https://eap.bl.uk/archive-file/EAP286-1-1-223,7036
846,861,FALSE,TRUE,,225,227,1,https://eap.bl.uk/archive-file/EAP432-1-4,,https://ethiopic-manuscripts.s3.amazonaws.com/British+Library/BL+EAP/ML-432+1-04/EAP+432_005b.jpg,1,4r,5b,1,1,full,Motherhood: Madonna and child,couch; handkerchief; book; jewelry; sword,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,1000,1,M-432 (EAP) 1-04,"Dabra Koreb & Qarāneyo Madḫānē Alam Monastery, EAP Project No. 432, by Mersha, Manuscript No. 1-04",https://eap.bl.uk/archive-file/EAP432-1-4,7011
847,862,FALSE,TRUE,,225,227,1,https://eap.bl.uk/archive-file/EAP254-1-6,,https://ethiopic-manuscripts.s3.amazonaws.com/British+Library/BL+EAP/N-254+1-06/EAP+254+106_003b.jpg,1,2r,3b,1,1,full,Motherhood: Madonna and child,sword; cross,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,1000,1,N-254 (EAP) 1-06,"Romanat Qeddus Mikael Dabre Mehret, EAP Project No. 254, by Nosnitsin, Manuscript No. 1-06",https://eap.bl.uk/archive-file/EAP254-1-6,7011
848,863,FALSE,TRUE,,225,227,1,https://eap.bl.uk/archive-file/EAP254-1-28,,https://ethiopic-manuscripts.s3.amazonaws.com/British+Library/BL+EAP/N-254+1-28/EAP+254+128_006a.jpg,1,4v,6a,1,1,full,Motherhood: Madonna and child,couch; book; handkerchief; sword; scabbard; jewelry,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,1000,1,N-254 (EAP) 1-28,"Romanat Qeddus Mikael Dabre Mehret, EAP Project No. 254, by Nosnitsin, Manuscript No. 1-28",https://eap.bl.uk/archive-file/EAP254-1-28,7011
849,864,FALSE,TRUE,,225,227,1,https://eap.bl.uk/archive-file/EAP254-1-67,,https://ethiopic-manuscripts.s3.amazonaws.com/British+Library/BL+EAP/N-254+1-67/EAP+254+167_003a.jpg,1,1v,3a,1,1,full,Motherhood: Madonna and child,couch; book; handkerchief,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,1000,1,N-254 (EAP) 1-67,"Romanat Qeddus Mikael Dabre Mehret, EAP Project No. 254, by Nosnitsin, Manuscript No. 1-67",https://eap.bl.uk/archive-file/EAP254-1-67,7011
850,865,FALSE,TRUE,,225,227,1,https://dpul.princeton.edu/msstreasures/catalog/db78tg545,"https://iiif-cloud.princeton.edu/iiif/2/0e%2F0d%2Fce%2F0e0dce564f8544a595579b995fa14508%2Fintermediate_file/full/1000,/0/default.jpg",,1,111v,,1,1,N/A,Motherhood: Madonna and child,book; necklace; handkerchief,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,1000,1,PEM (Princeton) 23,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 23",https://dpul.princeton.edu/msstreasures/catalog/db78tg545,7011
851,866,FALSE,TRUE,,225,227,3,https://dpul.princeton.edu/msstreasures/catalog/w9505399b,"https://iiif-cloud.princeton.edu/iiif/2/4e%2F00%2Fea%2F4e00ea49ffb94005870aff82583a030a%2Fintermediate_file/full/400,/0/default.jpg?t=1651500148816",,1,11r,,1,1,full,Motherhood: Madonna and child,couch; curtain; book; jewelry,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,1100,1,PEM (Princeton) 41,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 41",https://dpul.princeton.edu/msstreasures/catalog/w9505399b,7011
852,867,TRUE,,,58,59,3,https://dpul.princeton.edu/msstreasures/catalog/w9505399b,"https://iiif-cloud.princeton.edu/iiif/2/29%2F05%2Ffa%2F2905fafb5ead46b7b48b614b846e4ba6%2Fintermediate_file/full/400,/0/default.jpg?t=1651500265592",,1,27r,,1,1,full,Crucifixion: Mary at the cross,cross; nail; blood; handkerchief,Mary; Jesus Christ; John,,,,,,,1100,2,PEM (Princeton) 41,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 41",https://dpul.princeton.edu/msstreasures/catalog/w9505399b,7027
853,868,TRUE,,,8,8,3,https://dpul.princeton.edu/msstreasures/catalog/w9505399b,"https://iiif-cloud.princeton.edu/iiif/2/0d%2F68%2Fa9%2F0d68a905a257419480fd6fa708430005%2Fintermediate_file/full/400,/0/default.jpg?t=1651500200833",,1,197r,,1,1,full,Dormition: Mary prays for those in Sheol,hell; hellfire; fire; flame,Mary,,,,,,,1100,3,PEM (Princeton) 41,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 41",https://dpul.princeton.edu/msstreasures/catalog/w9505399b,7044
854,869,FALSE,TRUE,,225,227,2,https://dpul.princeton.edu/msstreasures/catalog/jd473106s,"https://iiif-cloud.princeton.edu/iiif/2/06%2Fc8%2Fc1%2F06c8c1aa25554778bacac719dec8f177%2Fintermediate_file/full/400,/0/default.jpg?t=1651500368546",,1,2v,,1,1,full,Motherhood: Madonna and child,throne; book; handkerchief; sword; scabbard,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,1100,1,PEM (Princeton) 47,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 47",https://dpul.princeton.edu/msstreasures/catalog/jd473106s,7011
856,871,TRUE,,,225,227,52,https://dpul.princeton.edu/msstreasures/catalog/44558h891,"https://iiif-cloud.princeton.edu/iiif/2/99%2F5b%2Fcc%2F995bcc2069dc451298f11bd8448be628%2Fintermediate_file/full/400,/0/default.jpg?t=1651500409205",,1,4r,,1,1,full,Motherhood: Madonna and child,couch; curtain; book; handkerchief; jewelry; sword; scabbard,Mary; Jesus Christ; angel; Michael; Gabriel; patron,,,Michael; With her beloved Son; Gabriel,,,,1100,1,PEM (Princeton) 57,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 57",https://dpul.princeton.edu/msstreasures/catalog/44558h891,7011
857,872,FALSE,,,225,227,59,https://dpul.princeton.edu/msstreasures/catalog/12579w78f,"https://iiif-cloud.princeton.edu/iiif/2/1f%2F0d%2F06%2F1f0d069e58d84acc89ac1c795d46cb4b%2Fintermediate_file/full/400,/0/default.jpg?t=1651500709530",,1,,201,1,1,full,Motherhood: Madonna and child,couch; book; handkerchief; jewelry; sword,Mary; Jesus Christ; angel; Michael; Gabriel; patron,,,,,,,1100,59,PEM (Princeton) 65,"Princeton University Library, Ethiopic Manuscripts, Manuscript No. 65",https://dpul.princeton.edu/msstreasures/catalog/12579w78f,7011
858,873,FALSE,,,58,59,3,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/UNESCO+Mss/UNESCO+10-11/UnescoRoll4_0041a.jpg,1,ii v,4a,1,1,full,Crucifixion: Mary at the cross,cross; nail; blood; sun; moon; skull; tears; crown; thorns,Mary; Jesus Christ; John,,,"Icon of Jesus, How he was crucified; Son; How our Lady Mary wept; How John wept",,,,2000,1,UNESCO (HMML) 10.11,"UNESCO, HMML Project ID UNESCO, Manuscript No. 10.11",,7027
859,874,FALSE,FALSE,,225,227,3,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/UNESCO+Mss/UNESCO+10-11/UnescoRoll4_0260b.jpg,1,212r,216b,1,1,full,Motherhood: Madonna and child,couch; curtain; book; handkerchief; necklace,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,2000,2,UNESCO (HMML) 10.11,"UNESCO, HMML Project ID UNESCO, Manuscript No. 10.11",,7011
860,875,FALSE,TRUE,,15,15,3,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/UNESCO+Mss/UNESCO+10-11/UnescoRoll4_0353a.jpg,1,,302a,1,1,full,"Nativity: Mary, Joseph, Jesus in manger",manger; stable; tree; horse; sheep,Mary; Jesus Christ; Joseph; shepherd,,,,,,,2000,3,UNESCO (HMML) 10.11,"UNESCO, HMML Project ID UNESCO, Manuscript No. 10.11",,7010
861,876,FALSE,,,29,29,7,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/UNESCO+Mss/UNESCO+11-1/UnescoRoll11_019b.jpg,1,14r,15b,1,1,full,Dormition: Mary receives the Covenant of Mercy from Jesus,handkerchief,Mary; Jesus Christ; angel,,,,,,,2000,1,UNESCO (HMML) 11.01,"UNESCO, HMML Project ID UNESCO, Manuscript No. 11.01",https://www.vhmml.org/readingRoom/view/609125,7045
862,877,FALSE,,,225,227,7,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/UNESCO+Mss/UNESCO+11-1/UnescoRoll11_020a.jpg,1,14v,16a,1,1,full,Motherhood: Madonna and child,couch; book; jewelry; sword,Mary; Jesus Christ; angel; Michael; Gabriel; patron,,,,,,,2000,2,UNESCO (HMML) 11.01,"UNESCO, HMML Project ID UNESCO, Manuscript No. 11.01",https://www.vhmml.org/readingRoom/view/609125,7011
863,878,FALSE,,,58,59,7,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/UNESCO+Mss/UNESCO+11-1/UnescoRoll11_189b.jpg,1,177r,178b,1,1,right,Crucifixion: Mary at the cross,cross; nail; blood; stars; crown; thorns; skull; jewelry,Mary; Jesus Christ; John; patron,,,,,,,2000,7,UNESCO (HMML) 11.01,"UNESCO, HMML Project ID UNESCO, Manuscript No. 11.01",https://www.vhmml.org/readingRoom/view/609125,7027
864,879,FALSE,TRUE,,225,227,1,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/VOHD+(HMML)+/VOHD+(HMML)+63/VOHD+(HMML)+63_003b.jpeg,1,iii r,3b,1,1,full,Motherhood: Madonna and child,book; handkerchief,Mary; Jesus Christ; angel; Michael; Gabriel,,,Icon of our Lady Mary with her beloved Son,,,,2000,1,VOHD (UH) 63,"Verzeichnis der orientalischen Handschriften in Deutschland, Tanasee Collection, Manuscript No. 63",https://betamasaheft.eu/manuscripts/Tanasee63/viewer,7011
865,880,FALSE,TRUE,,225,227,1,Images not publicly available as of September 2022,,https://ethiopic-manuscripts.s3.amazonaws.com/VOHD+(HMML)+/VOHD+(HMML)+118/VOHD+(HMML)+118_171a.jpeg,1,162v,171a,1,1,full,Motherhood: Madonna and child,,Mary; Jesus Christ; angel,,,,Captions unclear,,,2000,1,VOHD (UH) 118,"Verzeichnis der orientalischen Handschriften in Deutschland, Tanasee Collection, Manuscript No. 118",https://betamasaheft.eu/manuscripts/Tanasee118/viewer,7011
866,881,FALSE,TRUE,,29,29,5,https://gallica.bnf.fr/ark:/12148/btv1b10093449p,,https://ethiopic-manuscripts.s3.amazonaws.com/BNF/Z-Paris+/Z-Paris+(BNF)+60/Z-Paris+(BNF)+60_192b.jpg,1,178r,192b,1,1,full,Dormition: Mary receives the Covenant of Mercy from Jesus,crown; handkerchief,Mary; Jesus Christ; angel,,,Angel; How our Lord gave the covenant to his mother,,,,2000,4,Z-Paris (BNF) 60,"Bibliothèque nationale de France, [Ethiopic Collection], Manuscript No. 60",https://gallica.bnf.fr/ark:/12148/btv1b10093449p,7045
867,882,FALSE,FALSE,,225,227,5,https://gallica.bnf.fr/ark:/12148/btv1b10093449p,,https://ethiopic-manuscripts.s3.amazonaws.com/BNF/Z-Paris+/Z-Paris+(BNF)+60/Z-Paris+(BNF)+60_193b.jpg,1,179r,193b,1,1,full,Motherhood: Madonna and child,couch; curtain; book; handkerchief; jewelry,Mary; Jesus Christ; angel; Michael; Gabriel,,,Saint Michael; Saint Gabriel,Captions partially illegible,,,2000,5,Z-Paris (BNF) 60,"Bibliothèque nationale de France, [Ethiopic Collection], Manuscript No. 60",https://gallica.bnf.fr/ark:/12148/btv1b10093449p,7011
868,883,FALSE,,,58,59,5,https://gallica.bnf.fr/ark:/12148/btv1b10099818k,,https://ethiopic-manuscripts.s3.amazonaws.com/BNF/Z-Paris+/Z-Paris+(BNF)+61/Z-Paris+(BNF)+61_004a.jpg,1,2v,4a,1,1,full,Crucifixion: Mary at the cross,cross; nail; blood; tear; crown; thorns,Mary; Jesus Christ; John,,,,,,,2000,3,Z-Paris (BNF) 61,"Bibliothèque nationale de France, [Ethiopic Collection], Manuscript No. 61",https://gallica.bnf.fr/ark:/12148/btv1b10099818k,7027
869,884,FALSE,TRUE,,29,29,5,https://gallica.bnf.fr/ark:/12148/btv1b10099818k,,https://ethiopic-manuscripts.s3.amazonaws.com/BNF/Z-Paris+/Z-Paris+(BNF)+61/Z-Paris+(BNF)+61_005a.jpg,1,3v,5a,1,1,full,Dormition: Mary receives the Covenant of Mercy from Jesus,handkerchief; jewelry,Mary; Jesus Christ,,,,,,,2000,4,Z-Paris (BNF) 61,"Bibliothèque nationale de France, [Ethiopic Collection], Manuscript No. 61",https://gallica.bnf.fr/ark:/12148/btv1b10099818k,7045
870,885,FALSE,,,225,227,5,https://gallica.bnf.fr/ark:/12148/btv1b10099818k,,https://ethiopic-manuscripts.s3.amazonaws.com/BNF/Z-Paris+/Z-Paris+(BNF)+61/Z-Paris+(BNF)+61_006b.jpg,1,5r,6b,1,1,full,Motherhood: Madonna and child,couch; curtain; book; handkerchief; jewelry; sword,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,2000,5,Z-Paris (BNF) 61,"Bibliothèque nationale de France, [Ethiopic Collection], Manuscript No. 61",https://gallica.bnf.fr/ark:/12148/btv1b10099818k,7011
871,886,FALSE,,,225,227,54,"Budge, Lady Meux facsimile",,https://ia903203.us.archive.org/BookReader/BookReaderImages.php?zip=/4/items/gri_33125008690600/gri_33125008690600_jp2.zip&file=gri_33125008690600_jp2/gri_33125008690600_0009.jp2&id=gri_33125008690600&scale=4&rotate=0,1,2v,,1,1,full,Motherhood: Madonna and child,throne; sword; handkerchief; book,Mary; Jesus Christ; Michael; Gabriel; angel,,,,"Plate I Of Budge, Lady Meux facsimile",,,1100,1,B-Oslo (SCOL) 248,"Schøyen Collection-London-Oslo, [Ethiopic Collection], Manuscript No. 248",,7011
872,887,TRUE,,,8,8,54,"Budge, Lady Meux facsimile",,https://ia903203.us.archive.org/BookReader/BookReaderImages.php?zip=/4/items/gri_33125008690600/gri_33125008690600_jp2.zip&file=gri_33125008690600_jp2/gri_33125008690600_0106.jp2&id=gri_33125008690600&scale=4&rotate=0,1,78r,,1,1,full,Resurrection: Mary prays at Golgotha,hat; handkerchief; jewelry,Mary; Jesus Christ,,,,"Plate II Of Budge, Lady Meux facsimile",,,1100,47,B-Oslo (SCOL) 248,"Schøyen Collection-London-Oslo, [Ethiopic Collection], Manuscript No. 248",,7032
873,888,FALSE,,,29,29,54,"Budge, Lady Meux facsimile",,https://ia903203.us.archive.org/BookReader/BookReaderImages.php?zip=/4/items/gri_33125008690600/gri_33125008690600_jp2.zip&file=gri_33125008690600_jp2/gri_33125008690600_0110.jp2&id=gri_33125008690600&scale=4&rotate=0,1,79r,,1,1,top,Dormition: Mary receives the Covenant of Mercy from Jesus,throne; harp; couch; throne; rug; handkerchief; jewelry,Mary; Jesus Christ; angel; disciple; David,,,,"Plate III Of Budge, Lady Meux facsimile",,,1100,51,B-Oslo (SCOL) 248,"Schøyen Collection-London-Oslo, [Ethiopic Collection], Manuscript No. 248",,7045
874,889,FALSE,,,8,8,54,"Budge, Lady Meux facsimile",,https://ia903203.us.archive.org/BookReader/BookReaderImages.php?zip=/4/items/gri_33125008690600/gri_33125008690600_jp2.zip&file=gri_33125008690600_jp2/gri_33125008690600_0110.jp2&id=gri_33125008690600&scale=4&rotate=0,2,79r,,1,1,bottom-left,Dormition: Angels show Mary the fires of Sheol and the souls within,jewelry; hell; hellfire; fire; flame,Mary; angel,,,,"Plate III Of Budge, Lady Meux facsimile",,,1100,50,B-Oslo (SCOL) 248,"Schøyen Collection-London-Oslo, [Ethiopic Collection], Manuscript No. 248",,7043
875,890,FALSE,,,8,8,54,"Budge, Lady Meux facsimile",,https://ia903203.us.archive.org/BookReader/BookReaderImages.php?zip=/4/items/gri_33125008690600/gri_33125008690600_jp2.zip&file=gri_33125008690600_jp2/gri_33125008690600_0110.jp2&id=gri_33125008690600&scale=4&rotate=0,3,79r,,1,1,bottom-right,Dormition: Mary prays for those in Sheol,jewelry,Mary,,,,"Plate III Of Budge, Lady Meux facsimile",,,1100,52,B-Oslo (SCOL) 248,"Schøyen Collection-London-Oslo, [Ethiopic Collection], Manuscript No. 248",,7044
876,891,FALSE,,,20,20,54,"Budge, Lady Meux facsimile",,https://ia903203.us.archive.org/BookReader/BookReaderImages.php?zip=/4/items/gri_33125008690600/gri_33125008690600_jp2.zip&file=gri_33125008690600_jp2/gri_33125008690600_0114.jp2&id=gri_33125008690600&scale=4&rotate=0,1,78v,,1,1,top,Ascension: Mary surrounded by angels and the apostles,tree; plant; jewelry,Mary; angel; disciple,,,,"Plate IV Of Budge, Lady Meux facsimile",,,1100,48,B-Oslo (SCOL) 248,"Schøyen Collection-London-Oslo, [Ethiopic Collection], Manuscript No. 248",,7036
877,892,FALSE,,,8,8,54,"Budge, Lady Meux facsimile",,https://ia903203.us.archive.org/BookReader/BookReaderImages.php?zip=/4/items/gri_33125008690600/gri_33125008690600_jp2.zip&file=gri_33125008690600_jp2/gri_33125008690600_0114.jp2&id=gri_33125008690600&scale=4&rotate=0,2,78v,,1,1,bottom,Dormition: Angels show Mary the fires of Sheol and the souls within,sword; jewelry; hell; hellfire; fire; flame,Mary; angel,,,,"Plate IV Of Budge, Lady Meux facsimile",,,1100,49,B-Oslo (SCOL) 248,"Schøyen Collection-London-Oslo, [Ethiopic Collection], Manuscript No. 248",,7043
878,893,FALSE,,,29,29,54,"Budge, Lady Meux facsimile",,https://ia903203.us.archive.org/BookReader/BookReaderImages.php?zip=/4/items/gri_33125008690600/gri_33125008690600_jp2.zip&file=gri_33125008690600_jp2/gri_33125008690600_0118.jp2&id=gri_33125008690600&scale=4&rotate=0,1,80r,,1,1,full,Dormition: Mary receives the Covenant of Mercy from Jesus,jewelry,Mary; Jesus Christ; angel,,,,"Plate V Of Budge, Lady Meux facsimile",,,1100,53,B-Oslo (SCOL) 248,"Schøyen Collection-London-Oslo, [Ethiopic Collection], Manuscript No. 248",,7045
879,894,FALSE,TRUE,,13,13,2,https://betamasaheft.eu/manuscripts/EMIP00036/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+36/EMIP+36_019a.jpg,1,16v,19a,1,1,full,Ascension: Mary Enthroned,crown; couch; handkerchief; sword,Mary; angel,,,,,,,1000,1,EMIP (EMIP) 36,"Ethiopian Manuscript Imaging Project, HMML Project ID EMIP, Manuscript No. 36",https://betamasaheft.eu/manuscripts/EMIP00036/viewer,7037
880,895,FALSE,,,30,31,2,https://betamasaheft.eu/manuscripts/EMIP00036/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+36/EMIP+36_038b.jpg,1,36r,38b,1,1,full,Annunciation: St Gabriel appears to Mary sewing or spinning,book; handkerchief,Mary; Gabriel; angel,,,,,,,1000,2,EMIP (EMIP) 36,"Ethiopian Manuscript Imaging Project, HMML Project ID EMIP, Manuscript No. 36",https://betamasaheft.eu/manuscripts/EMIP00036/viewer,7008
881,896,FALSE,TRUE,,225,227,2,https://betamasaheft.eu/manuscripts/EMIP00154/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+154/EMIP154_034.jpg,1,,34,1,1,bottom,Motherhood: Madonna and child,flower; plant,Mary; Jesus Christ; Michael; Gabriel; angel,,,,,,,1000,1,UCLA-LA (EMIP) 154,"Ethiopian Manuscript Imaging Project , University of California, Los Angeles, Manuscript No. 154",https://betamasaheft.eu/manuscripts/EMIP00154/viewer,7011
882,897,FALSE,,,30,31,2,https://betamasaheft.eu/manuscripts/EMIP00154/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+154/EMIP154_043.jpg,1,,43,1,1,bottom-center,Annunciation: St Gabriel appears to Mary sewing or spinning,staff; cross; spear; string; thread; stool,Mary; Gabriel; angel,,,,,,,1000,2,UCLA-LA (EMIP) 154,"Ethiopian Manuscript Imaging Project , University of California, Los Angeles, Manuscript No. 154",https://betamasaheft.eu/manuscripts/EMIP00154/viewer,7008
883,898,FALSE,,,58,59,2,https://betamasaheft.eu/manuscripts/EMIP02046/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+2046/EMIP2046_20b.jpg,1,20r,20b,1,1,full,Crucifixion: Mary at the cross,cross; nail; blood; crown; thorns; sun; moon; stars; tears,Mary; Jesus Christ; John,,,,,,,1000,1,HUSD (EMIP) 097,"Ethiopian Manuscript Imaging Project, Howard University School of Divinity, Manuscript No. 097",https://betamasaheft.eu/manuscripts/EMIP02046/viewer,7027
884,899,FALSE,TRUE,,225,227,2,https://betamasaheft.eu/manuscripts/EMIP02046/viewer,,https://ethiopic-manuscripts.s3.amazonaws.com/EMIP/EMIP+2046/EMIP2046_95b.jpg,1,95r,95b,1,1,full,Motherhood: Madonna and child,curtain; sword; jewelry,Mary; Jesus Christ; Michael; Gabriel; angel,,,Saint Michael; Saint Gabriel; Our Lady Mary with her beloved Son,,,,1000,2,HUSD (EMIP) 097,"Ethiopian Manuscript Imaging Project, Howard University School of Divinity, Manuscript No. 097",https://betamasaheft.eu/manuscripts/EMIP02046/viewer,7011
885,900,FALSE,TRUE,,225,227,1,https://www.vhmml.org/readingRoom/view/204628,,https://ethiopic-manuscripts.s3.amazonaws.com/EMML+Mss/EMML+2802/EMML_2802-005b.jpg,1,2r,5b,1,1,full,Motherhood: Madonna and child,couch; book; jewelry; handkerchief,Mary; Jesus Christ; angel; Michael; Gabriel,,,,Captions covered by linen,,,2000,1,EMML (HMML) 2802,"Ethiopian Manuscript Microfilm Library, HMML Project ID EMML, Manuscript No. 2802",https://www.vhmml.org/readingRoom/view/204628,7011
886,901,FALSE,,,225,227,3,https://www.vhmml.org/readingRoom/view/204876,,https://ethiopic-manuscripts.s3.amazonaws.com/EMML+Mss/EMML+3051/EMML_3051-006.jpg,1,1v,6,1,1,top-right,Motherhood: Madonna and child,couch; jewelry; handkerchief; book; sword,Mary; Jesus Christ; angel; Michael; Gabriel,,,,,,,2000,1,EMML (HMML) 3051,"Ethiopian Manuscript Microfilm Library, HMML Project ID EMML, Manuscript No. 3051",https://www.vhmml.org/readingRoom/view/204876,7011
